Gene,Diplotype,Phenotype_CPIC_Format,Phenotype_Simplified,Phenotype_Category,Activity_Score,EHR_Priority
CYP2D6,*29/*113,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*114,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*115,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*116,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*117,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*118,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*119,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*120,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*121,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*122,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*123,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*124,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*125,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*126,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*127,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*128,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*129,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*130,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*131,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*132,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*133,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*134,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*135,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*136,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*137,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*138,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*139,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*140,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*141,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*142,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*143,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*144,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*145,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*146,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*146x2,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*147,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*148,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*149,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*152,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*153,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*154,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*155,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*156,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*157,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*158,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*159,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*160,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*161,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*162,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*163,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*29,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*29x2,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*30,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*31,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*32,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*33,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*34,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*35,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*35x2,CYP2D6 Ultrarapid Metabolizer,Ultrarapid Metabolizer,Ultrarapid,2.5,Abnormal/Priority/High Risk
CYP2D6,*29/*36,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*36+*10,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*36+*10x2,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*36x2,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*36x2+*10,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*36x2+*10x2,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*37,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*38,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*39,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*40,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*41,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*41x2,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*41x3,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29/*42,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*43,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*43x2,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*44,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*45,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*45x2,CYP2D6 Ultrarapid Metabolizer,Ultrarapid Metabolizer,Ultrarapid,2.5,Abnormal/Priority/High Risk
CYP2D6,*29/*46,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*47,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*48,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*49,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*50,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*51,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*52,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*53,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*54,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*55,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*56,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*58,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*59,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29/*60,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*61,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*62,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*63,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*64,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*65,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*68,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*68+*2,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29/*68+*4,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*69,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*70,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*71,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*72,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*73,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*74,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*75,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*81,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*82,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*83,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*84,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*85,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*86,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*87,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*88,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*89,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*90,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*91,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.75,Abnormal/Priority/High Risk
CYP2D6,*29/*92,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*93,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*94,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*95,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*96,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29/*97,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*98,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29/*99,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,0.5,Abnormal/Priority/High Risk
CYP2D6,*29x2/*100,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*101,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*102,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*103,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*104,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*105,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*106,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*107,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*108,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*109,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*110,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*111,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*112,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*113,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*114,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*115,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*116,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*117,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*118,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*119,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*120,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*121,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*122,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*123,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*124,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*125,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*126,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*127,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*128,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*129,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*130,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*131,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*132,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*133,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*134,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*135,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*136,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*137,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*138,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*139,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*140,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*141,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*142,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*143,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*144,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*145,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*146,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*146x2,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*147,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*148,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*149,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*152,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*153,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*154,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*155,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*156,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*157,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*158,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*159,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*160,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*161,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*162,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*163,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*29x2,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*30,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*31,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*32,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*33,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*34,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*35,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*35x2,CYP2D6 Ultrarapid Metabolizer,Ultrarapid Metabolizer,Ultrarapid,3.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*36,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*36+*10,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*36+*10x2,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*36x2,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*36x2+*10,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*36x2+*10x2,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*37,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*38,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*39,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*40,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*41,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*41x2,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*41x3,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.75,Normal/Routine/ Low Risk
CYP2D6,*29x2/*42,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*43,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*43x2,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*44,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*45,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*45x2,CYP2D6 Ultrarapid Metabolizer,Ultrarapid Metabolizer,Ultrarapid,3.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*46,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*47,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*48,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*49,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*50,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*51,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*52,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.25,Normal/Routine/ Low Risk
CYP2D6,*29x2/*53,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*54,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*55,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*56,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*58,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*59,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,1.5,Normal/Routine/ Low Risk
CYP2D6,*29x2/*60,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*61,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*62,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*63,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*64,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*65,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*68,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*68+*2,CYP2D6 Normal Metabolizer,Normal Metabolizer,Normal,2.0,Normal/Routine/ Low Risk
CYP2D6,*29x2/*68+*4,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*69,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*70,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*71,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*72,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*73,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*74,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*75,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*81,CYP2D6 Intermediate Metabolizer,Intermediate Metabolizer,Intermediate,1.0,Abnormal/Priority/High Risk
CYP2D6,*29x2/*82,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*83,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*84,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
CYP2D6,*29x2/*85,CYP2D6 Indeterminate,Indeterminate,Indeterminate,,none
